#"Step" "Potential Energy (kJ/mole)" "Temperature (K)"
100 -24789.6201386 112.19903002
200 -24426.8442148 149.329124941
300 -24150.6240087 184.175680333
400 -23886.8838659 208.49342862
500 -23530.7995435 220.98742902
600 -23397.2751033 233.798712843
700 -23230.0398817 241.503221589
800 -23059.2022423 248.568288092
900 -22917.0173038 263.397060393
1000 -22661.3670719 264.455370078
1100 -22525.6559016 265.349224337
1200 -22363.1578215 276.794456162
1300 -22403.017075 287.049443708
1400 -22195.6752233 284.288775431
1500 -22151.5108586 286.944012856
