#"Step" "Potential Energy (kJ/mole)" "Temperature (K)"
100 -24784.5553711 117.634614586
200 -24435.4110404 149.850156205
300 -24134.4089479 188.303988319
400 -23869.233797 205.072713497
500 -23557.6055958 218.409216326
600 -23344.203958 233.602599952
700 -23118.7791497 244.920673915
800 -22877.696924 244.372897034
900 -22797.5118951 250.686049793
1000 -22731.9005 266.291677901
1100 -22487.3855755 262.972044476
1200 -22364.9227768 260.740065519
1300 -22428.2747118 277.966572825
1400 -22320.749985 271.334435685
1500 -22299.0548815 280.698066493
1600 -22236.5957748 287.077039424
1700 -22037.9991387 290.742087386
1800 -21921.2117608 297.29370927
1900 -21863.7969922 294.628480647
2000 -21849.7509918 294.652298841
2100 -21902.3378046 301.860858046
2200 -21771.9542723 296.942899294
2300 -21718.149742 303.716783668
2400 -21684.099436 299.878810037
2500 -21789.8598107 305.429385791
2600 -21685.3449331 304.474426391
2700 -21544.2863237 296.648920611
2800 -21724.1602357 307.521916796
2900 -21564.4714275 310.246380381
3000 -21579.3809822 309.966077492
3100 -21412.351327 298.932702677
3200 -21576.3413512 313.364709154
3300 -21514.2677205 309.591802808
3400 -21486.7540811 299.749450842
3500 -21553.1183809 295.146136374
3600 -21809.8921754 308.555569059
3700 -21734.19952 311.92740606
3800 -21744.927429 308.16147012
3900 -21601.0035244 298.191051978
4000 -21604.7868749 300.969828458
4100 -21687.7776908 312.595758423
4200 -21538.0722259 302.150391916
4300 -21642.5235176 316.355332292
4400 -21659.0550097 311.570633619
4500 -21426.8417697 297.803166964
4600 -21309.1159414 302.948423611
4700 -21466.7369881 317.252478688
4800 -21325.7368481 316.82095706
4900 -21355.1994968 302.184995024
5000 -21481.7861697 303.517119615
5100 -21436.5086512 297.992317313
5200 -21363.9293929 297.96801861
5300 -21387.7514452 302.343498357
5400 -21501.8296585 305.5166196
5500 -21498.0165733 297.741777533
5600 -21467.5433939 311.611069806
5700 -21557.484585 314.427202088
5800 -21388.4457634 298.505439129
5900 -21517.8349248 300.485263623
6000 -21395.8245643 294.681378479
6100 -21470.0246184 305.501331914
6200 -21537.0591597 309.827974777
6300 -21382.409965 299.444509849
6400 -21608.5094121 313.309037361
6500 -21610.9049281 303.368190169
6600 -21674.8636484 308.956013679
6700 -21617.1279338 297.633782271
6800 -21669.9468267 300.371890559
6900 -21551.5626453 304.157722729
7000 -21495.8416443 305.461480478
7100 -21447.9861254 301.707862461
7200 -21434.4964159 292.007500665
7300 -21477.7148899 298.276310914
7400 -21575.8873727 308.814856633
7500 -21433.1053117 296.025349883
7600 -21327.5801775 296.589708566
7700 -21514.5320328 314.010607444
7800 -21279.7634372 296.341881428
7900 -21437.1991131 312.04211684
8000 -21413.5791253 312.696236865
8100 -21512.446595 314.55433275
8200 -21532.964419 311.457820289
8300 -21550.0908519 300.40248276
8400 -21553.6327869 304.270641428
8500 -21735.159788 306.598749296
8600 -21603.278899 295.22283726
8700 -21607.9339097 301.050795828
8800 -21584.0228915 299.899161865
8900 -21658.8639217 302.566663588
9000 -21408.4662723 293.611580362
9100 -21551.9885866 302.503449235
9200 -21558.1864933 305.012922476
9300 -21447.1736865 301.109234124
9400 -21681.8825122 312.037911832
9500 -21555.9062459 307.222226794
9600 -21512.1336727 297.072572656
9700 -21481.5573608 293.771818561
9800 -21576.8014619 302.029568261
9900 -21561.5361008 304.749725844
10000 -21621.1758881 301.271544988
10100 -21561.8718003 298.977038461
